City Name,Cloudiness,Humidity,Lattitude,Longitude,Windspeed,temperature
Hithadhoo,87,74,-0.6,73.08,7.61,82.63
New Norfolk,75,66,-42.78,147.06,5.82,50.25
Mahebourg,75,60,-20.41,57.7,12.75,71.29
Isangel,20,88,-19.55,169.27,10.42,68.0
Dikson,100,96,73.51,80.55,10.58,41.77
Tete,0,45,-16.16,33.59,6.93,82.4
Sitka,6,43,37.17,-99.65,25.01,92.05
Nikolskoye,75,82,59.7,30.79,8.95,63.82
Jamestown,44,85,-33.21,138.6,2.1,38.35
Diego de Almagro,0,24,-26.39,-70.05,10.29,81.73
Cape Town,20,71,-33.93,18.42,3.36,52.43
Ostrovnoy,96,90,68.05,39.51,12.88,43.21
Praia,75,44,-20.25,-43.81,5.82,75.2
Ahipara,73,100,-35.17,173.16,13.76,44.01
Komsomolskiy,90,92,67.55,63.78,6.58,38.35
Torbay,20,43,47.66,-52.73,8.05,70.92
Karratha,58,82,-20.74,116.85,2.44,55.63
Hobyo,100,78,5.35,48.53,26.69,76.87
Mumford,62,80,5.26,-0.76,7.52,76.15
Kattivakkam,40,79,13.22,80.32,6.93,85.39
Ormond Beach,40,74,29.29,-81.06,8.05,88.83
Ushuaia,75,86,-54.81,-68.31,5.82,40.23
Griffith,0,86,-34.29,146.06,3.36,33.06
Busselton,31,61,-33.64,115.35,11.32,40.28
Punta Arenas,20,60,-53.16,-70.91,29.97,42.84
Bethel,90,87,60.79,-161.76,5.82,52.39
Jacareacanga,0,49,-6.22,-57.76,5.82,93.2
Yellowknife,75,62,62.45,-114.38,13.87,59.0
Pisco,90,30,-13.71,-76.2,8.05,67.37
Half Moon Bay,5,73,37.46,-122.43,5.82,79.36
Guerrero Negro,0,91,27.97,-114.04,5.91,72.01
Butaritari,100,69,3.07,172.79,9.46,84.97
Rikitea,6,63,-23.12,-134.97,11.18,68.77
Havelock,20,58,34.88,-76.9,8.05,81.7
Cherskiy,83,85,68.75,161.3,1.66,44.47
Vermilion,75,76,53.35,-110.85,14.99,55.4
Puerto Ayora,20,61,-0.74,-90.35,14.99,76.33
Chokurdakh,100,88,70.62,147.9,10.29,40.69
Petropavlovka,100,98,50.61,105.32,5.77,41.23
At-Bashi,28,42,41.17,75.81,2.59,55.27
Albany,20,38,42.65,-73.75,4.7,74.48
Ibatiba,93,70,-20.23,-41.51,4.9,63.37
Ponta do Sol,17,35,-20.63,-46.0,7.52,77.77
Kandrian,86,97,-6.21,149.55,2.39,72.01
Gornopravdinsk,100,99,60.06,69.92,5.08,55.09
Castro,40,65,-42.48,-73.76,17.22,46.4
Kapaa,75,74,22.08,-159.32,19.46,81.27
Atuona,26,72,-9.8,-139.03,18.72,79.03
Mataura,87,88,-46.19,168.86,5.01,37.99
Port Elizabeth,90,60,39.31,-74.98,12.75,71.28
Cabo San Lucas,75,66,22.89,-109.91,17.22,90.61
Bintulu,75,94,3.17,113.03,3.36,75.07
Talnakh,90,100,69.49,88.39,13.42,50.0
Longyearbyen,20,69,78.22,15.63,6.93,39.2
Avarua,98,83,-21.21,-159.78,5.82,71.6
Ribeira Grande,75,94,38.52,-28.7,10.29,73.4
The Pas,90,77,53.82,-101.24,6.93,62.6
Andra,100,76,62.52,65.89,10.11,44.65
Antsohihy,3,65,-14.88,47.99,22.53,76.87
Quang Ngai,100,93,15.12,108.8,2.68,71.11
